element_index,x_m,y_m,z_m,power_weight,receiver_range_m,receiver_delay_s
1,-1.50350819325745,-0.54723222932107,-50,0.0196078431372549,622.580825391605,0.415053883594403
2,-1.35315737393171,-0.492509006388963,-50,0.021047357363868,622.421453141489,0.414947635427659
3,-1.20280655460596,-0.437785783456856,-50,0.0252249903615212,622.262081213562,0.414841387475708
4,-1.05245573528022,-0.383062560524749,-50,0.0317318063051233,622.102709608071,0.414735139738714
5,-0.902104915954472,-0.328339337592642,-50,0.0399308727144623,621.943338325265,0.414628892216843
6,-0.751754096628727,-0.273616114660535,-50,0.0490196078431373,621.783967365391,0.414522644910261
7,-0.601403277302981,-0.218892891728428,-50,0.0581083429718122,621.624596728698,0.414416397819132
8,-0.451052457977236,-0.164169668796321,-50,0.0663074093811512,621.465226415435,0.414310150943623
9,-0.300701638651491,-0.109446445864214,-50,0.0728142253247533,621.30585642585,0.4142039042839
10,-0.150350819325745,-0.054723222932107,-50,0.0769918583224065,621.146486760192,0.414097657840128
11,0,0,-50,0.0784313725490196,620.987117418711,0.413991411612474
12,0.150350819325745,0.054723222932107,-50,0.0769918583224065,620.827748401657,0.413885165601104
13,0.300701638651491,0.109446445864214,-50,0.0728142253247533,620.668379709279,0.413778919806186
14,0.451052457977236,0.164169668796321,-50,0.0663074093811512,620.509011341828,0.413672674227885
15,0.601403277302981,0.218892891728428,-50,0.0581083429718122,620.349643299554,0.413566428866369
16,0.751754096628727,0.273616114660535,-50,0.0490196078431373,620.190275582707,0.413460183721805
17,0.902104915954472,0.328339337592642,-50,0.0399308727144623,620.030908191539,0.413353938794359
18,1.05245573528022,0.383062560524749,-50,0.0317318063051233,619.871541126301,0.413247694084201
19,1.20280655460596,0.437785783456856,-50,0.0252249903615212,619.712174387245,0.413141449591496
20,1.35315737393171,0.492509006388963,-50,0.021047357363868,619.552807974621,0.413035205316414
21,1.50350819325745,0.54723222932107,-50,0.0196078431372549,619.393441888682,0.412928961259121
